GeneSymbol	Human	Chimpanzee	Pigtailed_macaque	Japanese_macaque	Rhesus_macaque	Cynomolgous_Mauritian	Cynomolgous_Chinese	Baboon	Sooty_mangabey	Marmoset	Squirrel_monkey	Mouse_lemur
LOC101060317	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060318	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060319	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060321	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060328	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060333	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060335	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060339	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060341	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060344	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060345	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060347	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060348	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060350	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060351	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060353	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060357	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060360	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060361	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060362	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060363	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060367	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060371	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060372	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060373	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060375	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060376	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060378	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060380	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060382	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060384	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060385	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060386	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060387	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060389	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060391	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060393	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060394	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060395	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060397	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060398	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060399	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060400	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060402	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060403	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060404	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060405	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060406	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060407	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060408	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060409	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060410	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060411	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060412	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060414	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060415	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060416	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060417	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060421	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060422	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060423	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060424	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060425	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060427	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060429	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060430	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060431	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060432	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060433	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060434	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060439	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060440	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060442	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060443	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060444	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060445	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060446	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060448	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060449	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060453	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060455	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060456	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060457	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060458	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060459	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060460	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060462	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060463	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060464	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060465	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060466	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060467	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060468	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060471	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060472	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060473	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060474	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060475	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060478	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060480	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060483	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060487	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060488	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060489	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060493	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060494	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060495	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060496	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060497	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060498	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060503	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060506	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060508	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060510	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060511	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060514	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060516	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060518	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060519	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060521	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060522	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060524	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060525	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060526	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060527	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060528	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060531	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060533	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060534	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060536	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060539	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060540	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060541	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060542	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060544	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060545	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060546	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060547	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060548	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060551	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060553	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060554	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060555	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060557	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060558	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060560	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060561	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060562	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060563	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060564	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060565	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060567	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060568	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060569	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060570	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060571	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060574	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060576	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060578	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060579	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060580	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060581	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060582	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060586	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060588	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060589	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060590	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060591	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060595	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060596	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060599	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060601	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060604	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060605	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060607	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060609	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060613	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060614	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060615	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060620	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060621	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060622	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060623	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060624	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060625	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060626	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060627	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060628	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060629	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060632	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060634	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060636	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060641	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060645	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060646	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060649	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060650	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060651	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060652	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060654	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060656	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060657	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060659	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060660	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060661	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060662	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060664	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060666	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060667	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060670	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060672	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060673	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060675	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060676	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060677	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060680	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060681	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060682	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060683	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060684	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060686	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060688	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060689	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060690	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060691	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060692	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060693	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060696	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060697	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060698	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060699	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060700	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060702	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060703	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060704	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060706	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060710	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060712	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060714	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060716	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060717	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060718	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060719	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060720	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060722	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060723	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060729	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060740	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060742	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060745	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060747	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060750	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060751	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060753	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060754	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060756	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060760	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060766	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060767	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060769	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060770	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060772	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060775	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060778	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060779	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060781	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060782	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060787	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060789	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060792	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060794	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060797	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060798	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060810	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060813	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060815	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060817	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060821	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060822	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060825	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060829	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060835	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060837	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060846	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060854	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060859	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060861	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060862	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060866	0	0	0	0	0	0	0	0	0	0	0	0
LOC113230	284	12	46	48	6	58	114	94	2	10	14	0
LOC115110	0	2	0	0	0	2	0	0	0	0	0	0
LOC116437	0	0	2	0	0	0	0	0	0	0	0	0
LOC128322	0	0	0	0	0	0	0	0	0	0	0	0
LOC143666	103	16	2	8	2	0	14	2	4	0	0	0
LOC144486	0	8	0	0	0	0	0	2	4	2	0	0
LOC144742	12	0	0	0	0	0	0	34	0	0	0	0
LOC145474	0	0	16	16	4	2	8	8	10	4	0	0
LOC145663	0	0	0	0	0	0	0	0	0	0	0	0
LOC145694	56	0	0	0	0	0	0	2	0	0	0	0
LOC145757	0	0	0	0	0	0	0	0	0	0	0	0
LOC145783	745	100	22	32	2	4	10	32	14	0	0	0
LOC145820	247	0	0	0	2	0	0	4	0	0	2	0
LOC145837	0	0	0	0	0	0	0	0	0	0	0	0
LOC145845	0	2	0	0	0	0	0	0	0	0	0	0
LOC146481	0	0	0	0	0	0	0	0	0	0	0	0
LOC146513	0	0	0	0	0	0	0	0	0	0	0	0
LOC146880	1232	50	108	194	48	106	120	130	132	116	68	64
LOC147093	0	0	0	0	0	0	0	0	0	0	0	0
LOC147646	0	2	0	0	0	0	0	0	0	2	0	0
LOC147670	11	0	8	4	4	4	0	8	27	8	0	0
LOC148145	0	0	0	0	0	0	2	0	0	0	0	0
LOC148413	1051	28	0	0	0	0	2	2	0	0	0	0
LOC148696	65	14	0	0	0	0	0	0	0	0	0	0
LOC148709	481	0	6	0	0	2	0	2	0	0	0	0
LOC149086	0	0	0	0	0	0	0	0	0	0	0	0
LOC149134	0	0	0	2	0	0	2	0	0	0	0	0
LOC149351	210	4	34	14	14	44	4	22	20	16	4	0
LOC149373	0	0	0	0	0	0	0	0	0	0	0	0
LOC149950	0	0	0	0	0	0	0	0	0	0	0	0
LOC150051	0	0	0	2	0	0	0	0	0	0	0	0
LOC150185	0	0	0	4	6	2	2	0	0	0	0	0
LOC150197	0	0	6	0	2	0	2	2	0	0	0	0
LOC150381	467	280	130	114	54	104	126	126	82	10	2	0
LOC150568	0	0	0	0	0	0	0	0	0	0	0	0
LOC150577	0	0	0	0	0	0	0	0	0	0	0	0
LOC150622	4	2	0	2	0	0	2	0	4	0	0	0
LOC150776	3188	170	48	46	44	54	84	108	102	60	70	10
LOC150935	0	0	0	0	0	0	0	0	0	0	0	0
LOC151009	344	4	0	0	0	0	0	0	0	0	0	0
LOC151121	10	4	0	0	0	0	0	0	0	0	0	0
LOC151171	0	0	0	0	0	0	0	0	0	0	0	0
LOC151174	37	4	242	22	2	146	128	252	74	0	0	0
LOC151475	92	6	0	2	0	0	0	0	0	4	0	0
LOC151484	0	0	0	0	0	0	0	0	0	0	0	0
LOC151760	0	0	0	0	0	0	0	0	0	0	0	0
LOC152024	0	0	0	0	0	0	0	0	0	0	0	0
LOC152217	1879	508	134	90	66	144	168	36	24	236	86	2
LOC152225	0	0	0	0	0	0	2	0	0	0	0	0
LOC152578	0	0	0	0	0	0	0	0	0	0	0	0
LOC152586	0	0	0	0	0	0	0	0	0	0	0	0
LOC152742	32	0	0	0	0	0	0	0	0	0	0	0
LOC153684	376	52	4	26	12	6	10	0	2	0	0	0
LOC153910	0	0	0	0	0	0	0	0	0	0	0	0
LOC154092	0	0	0	0	0	0	0	0	2	12	0	0
LOC154449	0	0	0	0	0	0	0	0	0	0	0	0
LOC154761	207	0	10	8	0	8	4	2	4	2	0	0
LOC154822	0	0	0	0	0	0	0	0	0	0	0	0
LOC154872	0	0	0	0	0	0	0	0	0	0	0	0
LOC155060	252	30	6	16	18	16	14	16	0	0	0	0
LOC157273	18	12	0	14	4	10	48	4	4	2	0	0
LOC157381	0	2	0	0	0	0	0	2	0	0	0	0
LOC158376	163	18	50	22	28	14	34	182	76	0	0	0
LOC158434	0	0	0	0	0	0	0	0	0	0	0	0
LOC158435	22	0	2	0	0	0	0	0	0	0	0	0
LOC158572	111	0	4	8	4	6	8	2	4	0	0	0
LOC158696	308	38	6	8	4	14	24	20	42	0	0	0
LOC170425	14	0	0	0	0	0	0	0	0	0	0	0
LOC1720	0	0	0	0	0	0	0	0	0	0	0	0
LOC199897	0	0	0	0	0	0	0	0	0	0	0	0
LOC200726	0	0	0	0	0	0	0	0	0	0	0	0
LOC200772	0	0	0	0	0	0	0	0	0	0	0	0
LOC201617	0	0	2	0	0	0	0	0	0	0	0	0
LOC201651	0	0	0	0	0	0	0	0	0	0	0	0
LOC202181	570	54	46	22	16	8	30	40	26	60	6	10
LOC202781	1299	58	32	42	22	52	54	30	274	6	0	0
LOC219347	0	0	0	0	0	0	0	0	0	0	0	0
LOC219731	41	4	0	2	0	0	0	2	0	0	0	0
LOC220729	2713	84	30	12	24	24	46	4	12	2	2	4
LOC220906	0	0	0	0	0	0	0	0	0	0	0	0
LOC221122	0	0	0	0	0	0	0	0	0	0	0	0
LOC253039	746	308	166	280	460	322	142	226	480	20	44	0
LOC253044	0	0	0	0	0	0	0	0	0	0	0	0
LOC253573	0	0	0	0	0	0	0	0	0	0	0	0
LOC254099	0	0	0	2	0	0	0	0	0	0	0	0
LOC254100	190	22	2	0	2	0	0	0	0	10	0	0
LOC254128	1037	42	4	16	4	2	2	26	28	0	0	0
LOC254312	0	0	0	0	0	0	0	0	0	0	0	0
LOC254559	1	0	0	0	0	0	0	0	0	0	0	0
LOC254896	0	0	2	0	0	0	0	0	0	0	0	0
LOC255025	0	0	0	0	0	0	0	0	0	0	0	0
LOC255130	141	2	2	0	2	2	2	2	6	0	0	0
LOC255167	63	6	0	0	2	0	0	0	0	0	0	0
LOC255187	0	4	2	0	2	0	2	2	0	0	2	0
LOC255411	0	0	0	0	0	0	2	0	0	4	0	30
LOC255512	367	22	0	0	0	0	0	0	4	0	0	0
LOC255654	0	0	0	0	0	0	0	0	0	0	0	0
LOC256021	0	0	0	2	2	0	0	0	16	0	2	0
LOC256880	2	0	0	0	2	0	2	0	0	0	0	0
LOC257358	52	0	0	0	0	0	0	0	0	0	0	0
LOC257396	138	6	2	2	2	0	2	2	2	0	0	0
LOC282980	19	0	2	0	0	0	0	0	0	2	0	0
LOC282997	65	0	0	0	0	0	0	2	0	0	0	0
LOC283028	0	0	0	0	0	0	0	0	0	0	0	0
LOC283033	0	0	0	0	0	0	0	0	0	0	0	0
LOC283038	94	0	0	0	0	0	0	0	0	0	0	0
LOC283050	64	0	0	6	0	0	0	0	0	0	0	0
LOC283070	473	30	60	30	6	32	18	32	12	4	10	0
LOC283143	0	2	0	0	0	0	0	0	0	0	0	0
LOC283174	740	226	32	48	42	34	56	98	48	88	312	2
LOC283177	0	0	0	0	0	0	0	0	0	0	0	0
LOC283194	0	0	0	0	0	0	0	0	0	0	0	0
LOC283214	0	0	0	0	0	0	0	0	0	0	0	0
LOC283299	9	6	0	4	0	0	0	0	0	16	0	0
LOC283332	0	0	0	0	0	0	0	0	0	0	0	0
LOC283335	604	26	18	2	8	10	10	24	16	2	0	0
LOC283403	0	0	0	0	0	0	0	0	0	0	0	0
LOC283440	0	0	0	0	0	0	0	0	0	0	0	0
LOC283575	0	0	0	0	0	0	0	0	0	0	0	0
LOC283585	0	0	0	0	0	0	0	0	0	0	0	0
LOC283587	0	0	0	0	0	0	0	0	0	0	0	0
LOC283588	403	14	16	12	6	2	24	12	14	0	0	0
LOC283663	13	6	2	4	0	2	0	0	24	2	0	0
LOC283683	49	10	2	0	0	0	0	1	6	12	2	0
LOC283688	0	0	0	0	2	0	0	0	0	0	0	0
LOC283692	0	12	0	0	0	0	0	0	0	0	0	0
LOC283693	0	2	0	0	8	8	2	4	2	0	0	0
LOC283710	1	0	0	0	0	0	0	0	0	0	0	0
LOC283731	4	0	0	0	4	0	0	0	0	0	0	0
LOC283761	0	0	0	0	0	0	0	0	0	0	0	0
LOC283788	1886	34	62	60	48	90	72	108	216	112	4	100
LOC283856	0	4	2	6	2	0	0	2	4	2	6	0
LOC283867	0	0	0	0	0	0	0	0	0	0	0	0
LOC283887	191	22	0	0	2	0	0	4	0	2	2	0
LOC283914	1	0	0	0	0	0	0	0	0	0	0	0
LOC283922	2061	92	76	76	38	70	70	90	116	112	130	116
LOC284009	166	4	8	0	0	2	2	2	0	0	0	0
LOC284023	1077	18	2	14	2	2	0	20	22	0	6	2
LOC284080	1	0	0	0	0	4	0	4	0	0	0	0
LOC284100	6	0	0	0	0	0	0	0	0	0	0	0
LOC284260	8	2	128	10	68	64	38	28	28	2	4	0
LOC284276	70	0	0	0	0	0	0	0	0	0	0	0
LOC284294	0	0	0	0	0	0	0	0	0	0	0	0
LOC284344	0	0	0	0	0	0	0	0	0	0	0	0
LOC284379	0	0	2	0	0	0	6	0	2	2	0	0
LOC284385	189	24	0	0	0	0	0	0	0	0	0	0
LOC284395	0	0	0	0	0	0	0	0	0	0	0	0
LOC284412	73	34	0	8	0	0	2	0	0	0	0	0
LOC284454	1318	134	110	68	28	48	72	78	83	18	4	6
LOC284551	0	0	0	0	0	0	0	0	0	0	0	0
LOC284561	0	0	0	0	0	0	0	0	0	0	0	0
LOC284578	10	0	0	0	2	2	2	2	6	0	0	0
LOC284581	1	0	2	8	8	6	8	4	8	0	0	0
LOC284600	2	0	2	0	4	2	0	0	0	0	0	0
LOC284632	0	0	0	0	0	0	0	0	0	0	0	0
LOC284648	85	0	2	10	12	6	82	6	0	0	0	2
LOC284661	0	0	0	0	0	0	0	0	0	0	0	0
LOC284688	0	0	0	0	0	0	0	0	0	2	26	0
LOC284751	274	18	48	12	8	6	30	8	28	6	0	0
LOC284757	2	2	0	0	0	2	2	0	0	0	0	0
LOC284788	0	0	0	0	0	0	0	0	0	0	0	0
LOC284798	0	0	2	0	2	22	2	0	2	0	0	0
LOC284801	0	0	0	0	0	0	0	46	0	0	0	0
